occrrnc_dt,dth_dnv_cnt,dght_cd,injpsn_cnt,acc_ty_lclas_cd,acc_ty_mlsfc_cd,acc_ty_cd,aslt_vtr_cd,road_frm_lclas_cd,road_frm_cd,wrngdo_isrty_vhcty_lclas_cd,dmge_isrty_vhcty_lclas_cd,dmge_isrty_vhcty_lclas_cd,lo_crd,la_crd
2016011916,1,1,1,03,34,31,05 ,01,05,01,##,##,127.39639551,37.48861247
2016012407,1,1,1,03,31,32,05 ,01,05,01,##,##,127.6671575,37.55614181
2016020911,1,1,1,03,34,31,05 ,01,05,05,##,##,127.62320895,37.44798689
2016040613,1,1,1,02,24,25,05 ,01,05,01,05,05,127.43771918,37.51370848
2016043004,1,2,5,03,34,31,05 ,01,05,03,##,##,127.56510293,37.47983358
2016052307,1,1,1,03,34,31,05 ,Z3,Z3,01,##,##,127.52899838,37.50495105
2016060116,1,1,5,02,21,21,99 ,02,06,01,01,01,127.45798241,37.57943554
2016071318,1,2,1,02,21,21,05 ,01,05,01,07,07,127.56759079,37.41651965
2016071611,1,1,1,03,34,31,05 ,01,05,03,##,##,127.45579835,37.51893552
2016100806,1,1,5,02,24,25,05 ,01,05,01,01,01,127.44384256,37.51148518
2016102518,1,2,1,01,15,05,05 ,01,05,01,12,12,127.53628392,37.43303763
2016103108,1,1,1,02,24,25,05 ,01,05,01,08,08,127.61779218,37.50476068
2016110722,1,2,1,01,15,05,05 ,01,05,01,12,12,127.59003578,37.49312141
2016121718,1,2,1,02,24,25,02 ,01,05,01,07,07,127.60552525,37.48702436
2016121906,1,1,1,01,11,01,07 ,01,Z1,01,12,12,127.49445713,37.49002784
2016122607,1,1,1,01,15,05,05 ,02,06,03,12,12,127.45277672,37.50124957
