occrrnc_dt,dth_dnv_cnt,dght_cd,injpsn_cnt,acc_ty_lclas_cd,acc_ty_mlsfc_cd,acc_ty_cd,aslt_vtr_cd,road_frm_lclas_cd,road_frm_cd,wrngdo_isrty_vhcty_lclas_cd,dmge_isrty_vhcty_lclas_cd,dmge_isrty_vhcty_lclas_cd,lo_crd,la_crd
2016010621,1,2,4,02,22,22,02 ,01,05,01,02,02,127.20318149,37.14944311
2016020408,1,1,5,02,22,22,02 ,01,05,01,01,01,127.37680027,37.15179696
2016020423,1,2,1,02,21,21,05 ,01,05,03,03,03,127.2074065,37.19855359
2016020500,1,2,2,01,11,01,05 ,02,08,01,12,12,127.1028583,37.33618994
2016020719,1,2,4,01,13,03,01 ,01,05,01,12,12,127.06938069,37.2680359
2016021918,1,2,1,01,11,01,05 ,01,05,01,12,12,127.16448468,37.3360202
2016032506,1,1,1,01,11,01,05 ,01,05,01,12,12,127.21533293,37.23326806
2016041102,1,2,1,03,31,32,05 ,02,08,01,##,##,127.10466169,37.24401052
2016041104,1,2,1,02,21,21,05 ,02,08,01,10,10,127.21664037,37.23334331
2016041105,1,2,1,01,11,01,05 ,02,06,01,12,12,127.2125519,37.25905948
2016041218,1,2,1,03,34,31,05 ,01,05,05,##,##,127.09337525,37.33627491
2016041416,1,1,1,01,11,01,07 ,02,08,01,12,12,127.11201084,37.32573718
2016041720,1,2,1,01,15,05,05 ,01,05,02,12,12,127.2093048,37.23244216
2016042004,1,2,1,01,11,01,05 ,02,08,01,12,12,127.1054946,37.30913008
2016050913,1,1,3,02,23,Z1,05 ,02,08,03,03,03,127.34644033,37.17368398
2016051309,1,1,1,02,22,22,06 ,02,06,05,03,03,127.31184062,37.14884512
2016052305,1,2,3,02,23,Z1,05 ,01,05,01,03,03,127.29885855,37.24160611
2016053121,1,2,1,01,11,01,05 ,01,05,01,12,12,127.07617552,37.30936222
2016061100,1,2,1,01,12,02,05 ,01,05,01,12,12,127.08336878,37.31870812
2016061314,1,1,2,02,23,Z1,05 ,01,04,02,01,01,127.15322659,37.26789655
2016061812,1,1,5,02,22,22,03 ,02,06,01,01,01,127.10573285,37.28294543
2016061902,1,2,2,03,34,31,05 ,01,05,02,##,##,127.14858606,37.27625684
2016070118,1,2,5,01,15,05,01 ,02,08,01,12,12,127.20838245,37.23775817
2016071523,1,2,2,02,22,22,05 ,01,05,01,05,05,127.09140146,37.25251077
2016072801,1,2,1,03,31,32,05 ,01,05,01,##,##,127.05847534,37.32769482
2016080305,1,2,4,02,23,Z1,05 ,Z3,Z3,03,03,03,127.23239453,37.23190165
2016080411,1,1,6,01,15,05,99 ,01,05,02,12,12,127.13358518,37.33180019
2016081601,1,2,1,02,24,25,05 ,01,05,01,01,01,127.10657318,37.22983785
2016082011,1,1,1,01,11,01,05 ,02,06,01,12,12,127.08759097,37.32056175
2016090300,1,2,1,03,31,32,05 ,02,08,03,##,##,127.25096565,37.34705952
2016090817,1,1,1,01,15,05,05 ,01,05,03,12,12,127.26650299,37.15651667
2016091006,1,1,1,01,15,05,05 ,01,05,03,12,12,127.21937653,37.35269458
2016091010,1,1,2,02,21,21,05 ,02,08,03,03,03,127.20705571,37.21642765
2016092918,1,2,1,01,12,02,05 ,01,05,02,12,12,127.10423753,37.27336763
2016093016,1,1,1,01,11,01,07 ,02,08,02,12,12,127.1055674,37.27141604
2016100401,1,2,3,02,22,22,03 ,02,06,05,02,02,127.12140339,37.32542508
2016100510,2,1,7,01,14,04,99 ,01,05,03,12,12,127.19328461,37.23541244
2016102412,1,1,14,02,22,22,05 ,01,05,02,02,02,127.10390413,37.26595704
2016102418,1,2,1,02,23,Z1,05 ,01,05,03,03,03,127.26418586,37.24615733
2016110523,1,2,1,02,21,21,03 ,02,06,01,05,05,127.21277575,37.26247633
2016111118,1,2,2,02,23,Z1,05 ,01,05,01,10,10,127.13978713,37.32843902
2016111222,1,2,1,01,11,01,05 ,01,05,01,12,12,127.10748421,37.27153959
2016112708,1,1,1,01,11,01,03 ,02,08,03,12,12,127.06522822,37.29190765
2016120314,1,1,1,01,15,05,05 ,Z3,Z3,03,12,12,127.10562803,37.23599128
2016120517,1,1,1,01,12,02,05 ,01,05,01,12,12,127.11938837,37.27509391
2016120701,1,2,1,03,31,32,05 ,02,06,01,##,##,127.22525976,37.27814523
2016120918,1,2,2,02,22,22,03 ,02,06,01,03,03,127.33609606,37.18043975
2016121113,1,1,2,01,14,04,05 ,01,05,01,12,12,127.11927627,37.32196594
2016121422,1,2,1,03,34,31,05 ,01,05,01,##,##,127.10215141,37.30111454
2016122720,1,2,1,01,11,01,03 ,01,Z1,03,12,12,127.08017896,37.31329032
2016123017,1,1,2,02,22,22,02 ,01,05,01,01,01,127.30786091,37.17735956
