occrrnc_dt,dth_dnv_cnt,dght_cd,injpsn_cnt,acc_ty_lclas_cd,acc_ty_mlsfc_cd,acc_ty_cd,aslt_vtr_cd,road_frm_lclas_cd,road_frm_cd,wrngdo_isrty_vhcty_lclas_cd,dmge_isrty_vhcty_lclas_cd,dmge_isrty_vhcty_lclas_cd,lo_crd,la_crd
2016010410,1,1,1,02,22,22,04 ,01,05,08,03,03,126.81352585,37.7413891
2016010911,2,1,2,02,22,22,03 ,02,06,01,03,03,126.81156592,37.74222491
2016011301,1,2,1,03,31,32,05 ,01,05,07,##,##,126.73476845,37.73482026
2016020513,1,1,1,01,15,05,05 ,01,05,01,12,12,126.78308424,37.74503845
2016022417,1,1,3,02,21,21,02 ,01,05,01,10,10,126.85554763,37.80760226
2016031417,1,1,1,02,22,22,99 ,02,06,03,03,03,126.76684097,37.73706107
2016031620,1,2,1,01,11,01,05 ,01,05,01,12,12,126.82949849,37.77246814
2016032002,1,2,1,03,34,31,05 ,01,05,10,##,##,126.74304122,37.82173236
2016032509,1,1,2,02,23,Z1,03 ,02,06,01,02,02,126.74285551,37.72970797
2016041315,1,1,1,02,21,21,03 ,02,06,02,07,07,126.83935139,37.92185093
2016041622,1,2,1,03,34,31,05 ,01,05,07,##,##,126.80525607,37.75792478
2016051022,1,2,2,03,32,35,05 ,01,05,07,##,##,126.72206029,37.73132111
2016052407,1,1,8,02,21,21,02 ,01,05,03,01,01,126.81312206,37.8880106
2016060123,1,2,1,01,11,01,07 ,01,Z1,01,12,12,126.78189732,37.85481894
2016070405,1,2,1,03,34,31,05 ,01,05,07,##,##,126.7596349,37.71647511
2016070723,1,2,1,01,12,02,05 ,01,05,01,12,12,126.71838803,37.70172476
2016071610,1,1,1,02,22,22,02 ,01,05,03,03,03,126.84306467,37.95334459
2016072605,1,2,1,03,31,32,05 ,02,06,01,##,##,126.79477282,37.79788956
2016072614,1,1,1,02,21,21,05 ,01,05,07,03,03,126.77949582,37.76745016
2016080714,1,1,1,03,31,32,05 ,01,05,03,##,##,126.84831984,37.80016278
2016081522,1,2,1,01,12,02,05 ,02,06,02,12,12,126.87067341,37.84976586
2016082212,1,1,1,01,11,01,07 ,02,06,03,12,12,126.77661384,37.75909541
2016091116,1,1,1,02,22,22,03 ,02,06,05,02,02,126.74940519,37.71153432
2016092019,1,2,1,01,11,01,07 ,02,08,02,12,12,126.84015593,37.82916635
2016092815,1,1,1,03,31,32,05 ,01,05,07,##,##,126.79267996,37.87793028
2016101411,1,1,4,02,21,21,02 ,01,05,01,03,03,126.8981664,37.80672811
2016102416,1,1,2,02,21,21,02 ,01,05,07,03,03,126.81997695,37.86727559
2016110520,1,2,1,01,12,02,05 ,01,05,03,12,12,126.87892657,37.84828648
2016111206,1,1,1,03,35,37,05 ,01,05,05,##,##,126.72558277,37.70909091
2016112817,1,1,1,01,12,02,05 ,02,06,03,12,12,126.82412763,37.86468574
2016112913,1,1,1,01,11,01,05 ,01,05,01,12,12,126.78572117,37.85553619
2016120405,1,2,1,03,34,31,05 ,01,05,01,##,##,126.69017491,37.76746504
2016121312,1,1,1,02,24,25,05 ,01,05,07,03,03,126.87833248,37.7388555
