occrrnc_dt,dth_dnv_cnt,dght_cd,injpsn_cnt,acc_ty_lclas_cd,acc_ty_mlsfc_cd,acc_ty_cd,aslt_vtr_cd,road_frm_lclas_cd,road_frm_cd,wrngdo_isrty_vhcty_lclas_cd,dmge_isrty_vhcty_lclas_cd,dmge_isrty_vhcty_lclas_cd,lo_crd,la_crd
2020012911,1,1,1,01,15,05,05 ,01,05,01,12,12,126.78999647,37.65347929
2020020413,1,1,3,02,22,22,02 ,01,05,01,03,03,126.8819916,37.67819778
2020020519,1,2,1,02,22,22,05 ,02,06,02,05,05,126.75303296,37.68128212
2020021106,1,1,1,01,15,05,05 ,02,06,04,12,12,126.85808911,37.63045292
2020021123,1,2,1,01,15,05,05 ,02,08,01,12,12,126.82775452,37.65768438
2020022020,1,2,1,02,22,22,06 ,02,06,09,02,02,126.76346476,37.68947763
2020030306,1,1,2,02,24,25,05 ,01,05,05,01,01,126.77774608,37.68461772
2020031714,1,1,1,01,11,01,05 ,02,08,02,12,12,126.90207543,37.70361052
2020031719,1,2,1,01,15,05,05 ,01,05,01,12,12,126.83401119,37.63245562
2020041011,1,1,1,01,15,05,05 ,05,98,03,12,12,126.77873021,37.65090526
2020041516,1,1,1,02,23,23,03 ,02,06,02,10,10,126.88229095,37.59140102
2020042408,1,1,2,01,15,05,02 ,01,05,01,12,12,126.83751348,37.62220917
2020042504,1,2,1,03,31,32,05 ,05,98,01,##,##,126.82058243,37.61115269
2020043001,1,2,1,01,11,01,05 ,01,05,05,12,12,126.79358253,37.65787225
2020050100,1,2,1,01,15,05,05 ,01,05,03,12,12,126.91017369,37.71525133
2020050613,1,1,1,02,22,22,03 ,02,06,05,03,03,126.76127809,37.67552054
2020050822,1,2,1,02,24,25,05 ,01,05,01,01,01,126.85946689,37.64818057
2020051502,2,2,2,03,35,37,05 ,01,05,05,##,##,126.73442709,37.68197399
2020052710,1,1,2,02,23,23,05 ,01,05,01,03,03,126.78455097,37.62907451
2020052919,1,2,2,02,22,22,03 ,02,06,05,01,01,126.77287228,37.69360997
2020060817,1,1,2,01,11,01,07 ,01,05,05,12,12,126.90248616,37.70614532
2020061303,1,2,3,02,21,21,02 ,01,05,01,03,03,126.8155635,37.6074102
2020061716,1,1,2,02,23,23,05 ,01,02,03,01,01,126.88401027,37.67407126
2020062223,1,2,1,02,24,25,05 ,01,05,01,01,01,126.85684993,37.64799508
2020062618,1,2,1,01,11,01,07 ,01,05,01,12,12,126.84599718,37.61747042
2020071403,1,2,1,01,11,01,01 ,02,06,01,12,12,126.77309903,37.69362038
2020080117,1,1,1,02,22,22,05 ,01,05,02,08,08,126.90600175,37.72477537
2020081411,1,1,1,01,11,01,03 ,02,07,03,12,12,126.76374741,37.68956953
2020082622,1,2,1,01,11,01,05 ,05,98,01,12,12,126.8219852,37.61263895
2020091223,1,2,1,01,11,01,05 ,01,05,01,12,12,126.76296985,37.66957339
2020092607,1,1,1,02,23,23,05 ,01,05,05,10,10,126.90488979,37.61969296
2020110821,1,2,1,01,14,04,05 ,01,05,01,12,12,126.83320591,37.64140128
2020111019,1,2,1,03,31,32,05 ,01,05,01,##,##,126.6830941,37.69479778
2020111613,1,1,1,02,24,25,05 ,01,05,04,08,08,126.88735638,37.67809959
2020112902,1,2,1,02,24,25,05 ,01,05,05,03,03,126.87117583,37.62407886
2020120906,1,1,1,01,11,01,05 ,05,98,02,12,12,126.83028833,37.62675616
