occrrnc_dt,dth_dnv_cnt,dght_cd,injpsn_cnt,acc_ty_lclas_cd,acc_ty_mlsfc_cd,acc_ty_cd,aslt_vtr_cd,road_frm_lclas_cd,road_frm_cd,wrngdo_isrty_vhcty_lclas_cd,dmge_isrty_vhcty_lclas_cd,dmge_isrty_vhcty_lclas_cd,lo_crd,la_crd
2020010206,1,1,1,02,24,25,05 ,02,06,03,03,03,126.95722848,37.26147242
2020011001,1,2,1,03,38,38,05 ,01,05,05,##,##,127.05094244,37.29993077
2020011400,1,2,1,01,11,01,05 ,02,07,01,12,12,127.07540485,37.25573558
2020012309,1,1,2,02,22,22,06 ,02,06,05,01,01,127.00420925,37.28924305
2020020413,1,1,1,01,11,01,05 ,01,05,02,12,12,127.07537132,37.25568137
2020020921,1,2,1,01,12,02,05 ,02,08,02,12,12,127.0081782,37.26357895
2020021203,1,2,1,03,31,32,05 ,02,06,05,##,##,126.99912282,37.27878353
2020022705,1,2,1,01,11,01,07 ,02,07,01,12,12,127.07557304,37.25590744
2020031108,1,1,2,02,23,23,05 ,01,05,03,03,03,127.02847543,37.31287747
2020031113,1,1,1,02,24,25,05 ,02,08,02,05,05,127.01577784,37.28497328
2020032106,1,1,2,02,23,23,05 ,01,05,01,03,03,127.05028962,37.29965788
2020032609,1,1,1,02,24,25,05 ,01,05,02,05,05,127.00825969,37.26492236
2020042306,1,1,1,02,22,22,03 ,02,06,02,05,05,127.01418519,37.26246799
2020051022,1,2,1,01,15,05,05 ,01,05,01,12,12,126.97349115,37.25817465
2020052106,1,1,1,03,31,32,05 ,01,05,01,##,##,127.00667985,37.30308067
2020052822,1,2,1,02,22,22,05 ,02,07,02,08,08,127.00899358,37.30126048
2020060222,1,2,1,02,22,22,99 ,02,08,08,01,01,127.00843724,37.29658898
2020060500,1,2,1,03,31,32,01 ,01,05,05,##,##,127.02570316,37.29069222
2020070200,1,2,1,03,31,32,05 ,01,01,01,##,##,127.0244765,37.31350145
2020071114,1,1,1,02,22,22,02 ,02,08,01,05,05,127.03057782,37.24331635
2020080304,1,2,3,02,23,23,05 ,01,05,01,03,03,127.0813234,37.29271383
2020081101,1,2,1,01,11,01,01 ,01,05,01,12,12,127.02671944,37.28694651
2020081604,1,2,1,02,22,22,01 ,01,05,01,05,05,127.0277448,37.27089681
2020082922,1,2,4,02,23,23,01 ,01,05,01,01,01,127.05447676,37.27269505
2020092217,1,1,1,03,38,38,05 ,01,05,05,##,##,126.98760652,37.30528915
2020100715,1,1,1,01,15,05,05 ,02,08,03,12,12,126.97683052,37.27591082
2020102005,1,2,1,01,15,05,05 ,01,05,01,12,12,127.03495149,37.28566311
2020103102,1,2,1,01,15,05,02 ,01,05,01,12,12,126.96211285,37.27716089
2020111817,1,1,1,01,11,01,07 ,02,07,02,12,12,126.98594096,37.31291667
