occrrnc_dt,dth_dnv_cnt,dght_cd,injpsn_cnt,acc_ty_lclas_cd,acc_ty_mlsfc_cd,acc_ty_cd,aslt_vtr_cd,road_frm_lclas_cd,road_frm_cd,wrngdo_isrty_vhcty_lclas_cd,dmge_isrty_vhcty_lclas_cd,dmge_isrty_vhcty_lclas_cd,lo_crd,la_crd
2020010105,1,2,1,02,23,23,05 ,01,05,01,03,03,126.95014654,37.25055993
2020010519,1,2,5,02,23,23,02 ,01,05,01,01,01,126.98900685,37.19994018
2020011007,1,1,1,02,22,22,05 ,01,05,02,01,01,126.84391048,37.21738857
2020011901,1,2,4,02,24,25,02 ,01,05,01,01,01,126.95236331,37.19507114
2020012106,1,1,1,01,11,01,05 ,02,07,02,12,12,126.9164897,37.11412483
2020013007,1,1,1,02,23,23,05 ,01,05,03,10,10,126.94268624,37.20401298
2020021911,1,1,1,01,12,02,05 ,05,98,03,12,12,126.77287626,37.10502008
2020022101,1,2,1,03,31,32,05 ,01,05,01,##,##,126.92711374,37.11131014
2020022520,1,2,1,01,12,02,05 ,05,98,01,12,12,126.88762602,37.13280972
2020030116,1,1,1,02,24,25,03 ,02,06,06,02,02,127.06837992,37.20620524
2020031619,1,2,1,01,11,01,05 ,02,07,01,12,12,126.93954466,37.19453345
2020032204,1,2,1,02,22,22,05 ,01,05,01,08,08,126.71754605,37.16668413
2020032321,2,2,2,03,31,32,05 ,01,05,05,##,##,127.05457556,37.21568197
2020032504,1,2,2,03,31,32,01 ,01,05,01,##,##,126.79942682,37.20246815
2020032522,1,2,1,03,35,37,05 ,01,05,01,##,##,126.95409943,37.16833449
2020033022,1,2,1,01,11,01,01 ,01,05,01,12,12,126.82415061,37.20244052
2020041823,1,2,1,03,35,37,05 ,01,05,01,##,##,126.90119136,37.23141125
2020042615,1,1,1,03,31,32,05 ,01,05,05,##,##,126.9087561,37.28040381
2020051313,1,1,1,02,24,25,05 ,01,05,03,10,10,126.85737484,37.2258814
2020052114,1,1,1,01,15,05,05 ,01,05,01,12,12,127.10577369,37.16682684
2020052218,1,2,1,01,14,04,07 ,01,05,05,12,12,127.06688941,37.20672261
2020052310,1,1,1,03,35,37,05 ,05,98,11,##,##,126.83797899,37.04844105
2020060214,1,1,2,02,24,25,05 ,01,05,01,99,99,126.91859118,37.2849865
2020060603,1,2,2,02,23,23,05 ,02,08,01,01,01,126.93539183,37.13482263
2020060614,1,1,1,03,35,37,05 ,02,08,05,##,##,126.76579539,37.04104834
2020062210,1,1,1,01,15,05,05 ,01,05,03,12,12,127.02278193,37.20116274
2020062317,1,1,2,02,21,21,02 ,05,98,01,01,01,126.7123762,37.18512844
2020062500,1,2,1,02,24,25,01 ,02,06,03,02,02,126.99152099,37.20646814
2020063018,1,2,1,02,22,22,05 ,01,05,01,05,05,127.03039925,37.21211819
2020070600,1,2,1,03,35,37,05 ,05,98,01,##,##,126.86085763,37.2325976
2020070800,1,2,1,02,23,23,05 ,01,05,01,03,03,126.87616054,37.15802536
2020071311,1,1,2,02,23,23,05 ,01,02,03,03,03,126.75547636,37.24744975
2020072114,1,1,1,02,24,25,03 ,02,08,05,03,03,127.04408481,37.21529051
2020081014,1,1,2,02,23,23,04 ,01,05,03,03,03,126.74562817,37.27845805
2020081022,1,2,2,02,23,23,05 ,02,08,01,01,01,127.08681392,37.16120956
2020081316,1,1,1,03,32,34,05 ,02,08,11,##,##,126.70241166,37.24130831
2020090123,1,2,1,02,22,22,03 ,02,06,02,03,03,126.80774261,37.02572398
2020090220,1,2,2,02,23,23,05 ,01,05,03,03,03,126.79808759,37.07675954
2020091223,1,2,1,01,15,05,05 ,01,05,01,12,12,126.87183135,37.10818168
2020092314,1,1,1,01,12,02,05 ,01,02,03,12,12,126.92202165,37.14893735
2020092804,1,2,1,03,31,32,05 ,02,06,01,##,##,126.82108932,37.08485292
2020100601,1,2,1,03,32,34,05 ,05,98,10,##,##,126.97153976,37.09489435
2020101310,1,1,1,03,32,34,05 ,02,06,01,##,##,126.84430854,37.25602439
2020103015,1,1,1,01,11,01,05 ,01,05,03,12,12,126.71077722,37.18829971
