tm,stnNm,sumRn
2016-01-01,이천,
2016-01-02,이천,
2016-01-03,이천,
2016-01-04,이천,
2016-01-05,이천,
2016-01-06,이천,
2016-01-07,이천,
2016-01-08,이천,
2016-01-09,이천,
2016-01-10,이천,
2016-01-11,이천,
2016-01-12,이천,
2016-01-13,이천,1.2
2016-01-14,이천,0.5
2016-01-15,이천,1.1
2016-01-16,이천,
2016-01-17,이천,
2016-01-18,이천,0.2
2016-01-19,이천,
2016-01-20,이천,
2016-01-21,이천,
2016-01-22,이천,
2016-01-23,이천,
2016-01-24,이천,
2016-01-25,이천,
2016-01-26,이천,0.6
2016-01-27,이천,
2016-01-28,이천,
2016-01-29,이천,
2016-01-30,이천,
2016-01-31,이천,
2016-02-01,이천,
2016-02-02,이천,
2016-02-03,이천,
2016-02-04,이천,
2016-02-05,이천,
2016-02-06,이천,
2016-02-07,이천,
2016-02-08,이천,0.8
2016-02-09,이천,
2016-02-10,이천,
2016-02-11,이천,0.2
2016-02-12,이천,15.0
2016-02-13,이천,16.2
2016-02-14,이천,0.3
2016-02-15,이천,0.0
2016-02-16,이천,0.9
2016-02-17,이천,
2016-02-18,이천,0.1
2016-02-19,이천,
2016-02-20,이천,
2016-02-21,이천,
2016-02-22,이천,
2016-02-23,이천,0.3
2016-02-24,이천,
2016-02-25,이천,
2016-02-26,이천,0.5
2016-02-27,이천,8.9
2016-02-28,이천,9.0
2016-02-29,이천,
2016-03-01,이천,
2016-03-02,이천,
2016-03-03,이천,
2016-03-04,이천,1.9
2016-03-05,이천,56.3
2016-03-06,이천,
2016-03-07,이천,
2016-03-08,이천,
2016-03-09,이천,
2016-03-10,이천,
2016-03-11,이천,
2016-03-12,이천,
2016-03-13,이천,
2016-03-14,이천,
2016-03-15,이천,
2016-03-16,이천,
2016-03-17,이천,
2016-03-18,이천,
2016-03-19,이천,
2016-03-20,이천,
2016-03-21,이천,
2016-03-22,이천,
2016-03-23,이천,
2016-03-24,이천,
2016-03-25,이천,
2016-03-26,이천,
2016-03-27,이천,
2016-03-28,이천,
2016-03-29,이천,0.0
2016-03-30,이천,
2016-03-31,이천,
2016-04-01,이천,
2016-04-02,이천,
2016-04-03,이천,0.0
2016-04-04,이천,
2016-04-05,이천,
2016-04-06,이천,2.7
2016-04-07,이천,14.4
2016-04-08,이천,
2016-04-09,이천,
2016-04-10,이천,
2016-04-11,이천,
2016-04-12,이천,
2016-04-13,이천,4.7
2016-04-14,이천,
2016-04-15,이천,
2016-04-16,이천,28.6
2016-04-17,이천,15.1
2016-04-18,이천,4.0
2016-04-19,이천,
2016-04-20,이천,0.9
2016-04-21,이천,15.8
2016-04-22,이천,
2016-04-23,이천,
2016-04-24,이천,
2016-04-25,이천,
2016-04-26,이천,
2016-04-27,이천,0.5
2016-04-28,이천,
2016-04-29,이천,
2016-04-30,이천,
2016-05-01,이천,
2016-05-02,이천,10.1
2016-05-03,이천,26.6
2016-05-04,이천,
2016-05-05,이천,0.9
2016-05-06,이천,0.4
2016-05-07,이천,
2016-05-08,이천,
2016-05-09,이천,
2016-05-10,이천,15.5
2016-05-11,이천,
2016-05-12,이천,
2016-05-13,이천,
2016-05-14,이천,
2016-05-15,이천,17.5
2016-05-16,이천,3.5
2016-05-17,이천,
2016-05-18,이천,
2016-05-19,이천,
2016-05-20,이천,
2016-05-21,이천,
2016-05-22,이천,
2016-05-23,이천,
2016-05-24,이천,23.4
2016-05-25,이천,
2016-05-26,이천,
2016-05-27,이천,
2016-05-28,이천,
2016-05-29,이천,
2016-05-30,이천,
2016-05-31,이천,
2016-06-01,이천,
2016-06-02,이천,
2016-06-03,이천,
2016-06-04,이천,0.0
2016-06-05,이천,
2016-06-06,이천,
2016-06-07,이천,
2016-06-08,이천,
2016-06-09,이천,
2016-06-10,이천,
2016-06-11,이천,0.0
2016-06-12,이천,0.1
2016-06-13,이천,
2016-06-14,이천,
2016-06-15,이천,2.1
2016-06-16,이천,
2016-06-17,이천,
2016-06-18,이천,
2016-06-19,이천,0.0
2016-06-20,이천,
2016-06-21,이천,
2016-06-22,이천,0.7
2016-06-23,이천,0.5
2016-06-24,이천,15.5
2016-06-25,이천,
2016-06-26,이천,
2016-06-27,이천,
2016-06-28,이천,
2016-06-29,이천,
2016-06-30,이천,
2016-07-01,이천,40.8
2016-07-02,이천,0.7
2016-07-03,이천,
2016-07-04,이천,83.2
2016-07-05,이천,31.8
2016-07-06,이천,1.5
2016-07-07,이천,
2016-07-08,이천,
2016-07-09,이천,
2016-07-10,이천,
2016-07-11,이천,0.1
2016-07-12,이천,12.6
2016-07-13,이천,
2016-07-14,이천,
2016-07-15,이천,1.1
2016-07-16,이천,74.9
2016-07-17,이천,2.1
2016-07-18,이천,
2016-07-19,이천,
2016-07-20,이천,
2016-07-21,이천,
2016-07-22,이천,
2016-07-23,이천,
2016-07-24,이천,0.3
2016-07-25,이천,
2016-07-26,이천,
2016-07-27,이천,0.0
2016-07-28,이천,0.0
2016-07-29,이천,17.0
2016-07-30,이천,16.2
2016-07-31,이천,1.7
2016-08-01,이천,0.0
2016-08-02,이천,
2016-08-03,이천,
2016-08-04,이천,
2016-08-05,이천,
2016-08-06,이천,
2016-08-07,이천,
2016-08-08,이천,
2016-08-09,이천,
2016-08-10,이천,
2016-08-11,이천,
2016-08-12,이천,
2016-08-13,이천,
2016-08-14,이천,2.9
2016-08-15,이천,
2016-08-16,이천,0.0
2016-08-17,이천,
2016-08-18,이천,
2016-08-19,이천,
2016-08-20,이천,
2016-08-21,이천,
2016-08-22,이천,
2016-08-23,이천,
2016-08-24,이천,
2016-08-25,이천,0.2
2016-08-26,이천,26.0
2016-08-27,이천,
2016-08-28,이천,11.4
2016-08-29,이천,
2016-08-30,이천,
2016-08-31,이천,19.4
2016-09-01,이천,0.1
2016-09-02,이천,3.5
2016-09-03,이천,0.7
2016-09-04,이천,
2016-09-05,이천,
2016-09-06,이천,
2016-09-07,이천,
2016-09-08,이천,1.6
2016-09-09,이천,
2016-09-10,이천,0.0
2016-09-11,이천,
2016-09-12,이천,
2016-09-13,이천,
2016-09-14,이천,
2016-09-15,이천,
2016-09-16,이천,
2016-09-17,이천,34.6
2016-09-18,이천,
2016-09-19,이천,
2016-09-20,이천,
2016-09-21,이천,
2016-09-22,이천,
2016-09-23,이천,
2016-09-24,이천,
2016-09-25,이천,
2016-09-26,이천,
2016-09-27,이천,0.6
2016-09-28,이천,0.0
2016-09-29,이천,
2016-09-30,이천,
2016-10-01,이천,
2016-10-02,이천,6.7
2016-10-03,이천,11.0
2016-10-04,이천,
2016-10-05,이천,9.5
2016-10-06,이천,
2016-10-07,이천,5.8
2016-10-08,이천,6.6
2016-10-09,이천,
2016-10-10,이천,
2016-10-11,이천,
2016-10-12,이천,
2016-10-13,이천,
2016-10-14,이천,
2016-10-15,이천,
2016-10-16,이천,2.2
2016-10-17,이천,0.3
2016-10-18,이천,
2016-10-19,이천,
2016-10-20,이천,
2016-10-21,이천,
2016-10-22,이천,
2016-10-23,이천,3.6
2016-10-24,이천,
2016-10-25,이천,43.1
2016-10-26,이천,
2016-10-27,이천,
2016-10-28,이천,2.0
2016-10-29,이천,
2016-10-30,이천,
2016-10-31,이천,
2016-11-01,이천,
2016-11-02,이천,0.0
2016-11-03,이천,0.1
2016-11-04,이천,
2016-11-05,이천,
2016-11-06,이천,
2016-11-07,이천,3.0
2016-11-08,이천,0.3
2016-11-09,이천,
2016-11-10,이천,3.9
2016-11-11,이천,3.2
2016-11-12,이천,
2016-11-13,이천,1.8
2016-11-14,이천,0.2
2016-11-15,이천,
2016-11-16,이천,
2016-11-17,이천,
2016-11-18,이천,2.7
2016-11-19,이천,
2016-11-20,이천,
2016-11-21,이천,
2016-11-22,이천,0.2
2016-11-23,이천,
2016-11-24,이천,
2016-11-25,이천,
2016-11-26,이천,2.0
2016-11-27,이천,
2016-11-28,이천,
2016-11-29,이천,
2016-11-30,이천,0.4
2016-12-01,이천,
2016-12-02,이천,
2016-12-03,이천,
2016-12-04,이천,
2016-12-05,이천,0.1
2016-12-06,이천,
2016-12-07,이천,0.1
2016-12-08,이천,1.7
2016-12-09,이천,1.4
2016-12-10,이천,
2016-12-11,이천,
2016-12-12,이천,
2016-12-13,이천,
2016-12-14,이천,0.7
2016-12-15,이천,
2016-12-16,이천,
2016-12-17,이천,
2016-12-18,이천,
2016-12-19,이천,0.5
2016-12-20,이천,
2016-12-21,이천,34.1
2016-12-22,이천,18.2
2016-12-23,이천,0.5
2016-12-24,이천,
2016-12-25,이천,
2016-12-26,이천,1.1
2016-12-27,이천,0.5
2016-12-28,이천,
2016-12-29,이천,0.2
2016-12-30,이천,
2016-12-31,이천,
