occrrnc_dt,dth_dnv_cnt,dght_cd,injpsn_cnt,acc_ty_lclas_cd,acc_ty_mlsfc_cd,acc_ty_cd,aslt_vtr_cd,road_frm_lclas_cd,road_frm_cd,wrngdo_isrty_vhcty_lclas_cd,dmge_isrty_vhcty_lclas_cd,dmge_isrty_vhcty_lclas_cd,lo_crd,la_crd
2016010718,1,2,1,01,11,01,05 ,01,05,03,12,12,127.35835773,37.81494919
2016011216,1,1,1,03,31,32,05 ,01,05,01,##,##,127.49804952,37.67480554
2016022707,2,1,9,02,22,22,03 ,02,06,01,03,03,127.38418342,37.69760391
2016042307,1,1,1,02,23,Z1,05 ,01,01,01,10,10,127.37678584,37.77393276
2016050815,1,1,1,03,35,37,05 ,01,05,05,##,##,127.50658969,37.81596252
2016051522,1,2,1,03,35,37,05 ,01,05,01,##,##,127.48881498,37.70016868
2016081519,1,2,1,03,31,32,05 ,01,05,01,##,##,127.35944359,37.80551369
2016083106,1,1,2,02,23,Z1,05 ,02,08,03,03,03,127.42131112,37.73993679
2016092514,1,1,1,01,15,05,05 ,02,08,01,12,12,127.36549171,37.79668781
2016110509,1,1,2,02,21,21,02 ,01,05,05,01,01,127.49278095,37.62814278
2016111405,1,2,2,02,24,25,05 ,01,05,03,01,01,127.42051719,37.73941349
2016111915,1,1,1,03,34,31,05 ,01,05,11,##,##,127.55389197,37.86861416
2016121619,1,2,3,01,11,01,05 ,01,05,01,12,12,127.52849171,37.89673485
2016122414,1,1,1,03,34,31,05 ,01,02,01,##,##,127.38801918,37.68140428
2016122417,1,1,6,02,21,21,02 ,01,02,03,02,02,127.4685523,37.67942524
