occrrnc_dt,dth_dnv_cnt,dght_cd,injpsn_cnt,acc_ty_lclas_cd,acc_ty_mlsfc_cd,acc_ty_cd,aslt_vtr_cd,road_frm_lclas_cd,road_frm_cd,wrngdo_isrty_vhcty_lclas_cd,dmge_isrty_vhcty_lclas_cd,dmge_isrty_vhcty_lclas_cd,lo_crd,la_crd
2016010505,1,2,2,02,22,22,03 ,02,06,01,03,03,126.74602624,37.66204841
2016010521,1,2,4,02,22,22,02 ,01,05,01,01,01,126.87876134,37.6317263
2016011115,1,1,1,01,11,01,05 ,01,Z2,02,12,12,126.84296977,37.61898587
2016011503,2,2,3,02,24,25,02 ,01,05,01,01,01,126.84347175,37.60957873
2016011918,1,2,1,01,11,01,05 ,01,05,02,12,12,126.74941085,37.67541767
2016012021,1,2,1,02,21,21,02 ,02,08,01,07,07,126.89728009,37.70601066
2016012117,1,1,1,01,11,01,05 ,02,06,02,12,12,126.84073145,37.65430554
2016012515,1,1,2,02,22,22,03 ,02,06,01,01,01,126.78861671,37.6638272
2016020218,1,2,1,01,11,01,05 ,01,Z2,01,12,12,126.79814145,37.62881363
2016020310,1,1,5,02,22,22,03 ,02,06,02,01,01,126.79070195,37.65320412
2016020523,1,2,1,01,12,02,01 ,01,05,01,12,12,126.86944257,37.63742736
2016020823,1,2,2,03,34,31,05 ,01,05,01,##,##,126.79623901,37.67790652
2016030910,1,1,2,02,23,Z1,05 ,01,05,03,10,10,126.74240157,37.64720744
2016031618,1,2,1,02,22,22,03 ,02,06,03,08,08,126.9008606,37.69104891
2016032217,1,1,1,02,24,25,05 ,01,Z1,02,08,08,126.74886302,37.68094017
2016041619,1,2,3,02,23,Z1,05 ,01,05,03,03,03,126.84744874,37.6665739
2016042212,1,1,2,02,23,Z1,05 ,01,05,03,03,03,126.808807,37.59683422
2016042719,1,2,1,01,11,01,05 ,01,05,03,12,12,126.74416161,37.69274444
2016042720,2,2,3,01,11,01,01 ,02,08,01,12,12,126.78074976,37.64837585
2016050102,1,2,1,01,15,05,05 ,01,05,01,12,12,126.76383173,37.68677596
2016050401,1,2,1,01,11,01,07 ,01,Z1,01,12,12,126.76411115,37.6688234
2016051504,1,2,1,03,34,31,05 ,01,Z1,05,##,##,126.84643055,37.62491783
2016052007,1,1,1,03,31,32,05 ,01,05,01,##,##,126.77876113,37.63012085
2016052107,1,1,1,03,31,32,05 ,01,05,07,##,##,126.8380445,37.63005374
2016060210,1,1,1,03,35,37,99 ,01,05,02,##,##,126.78426868,37.66440478
2016061111,1,1,4,01,15,05,05 ,01,05,01,12,12,126.86719717,37.67363974
2016062619,1,2,2,02,22,22,99 ,01,05,01,05,05,126.78766235,37.6367366
2016063006,1,1,1,02,22,22,03 ,02,06,10,05,05,126.74296977,37.67274554
2016071710,2,1,5,02,23,Z1,05 ,01,05,01,01,01,126.85778107,37.57930043
2016072704,1,2,1,02,23,Z1,05 ,01,05,01,03,03,126.73614601,37.6503668
2016080323,1,2,1,03,34,31,05 ,01,05,07,##,##,126.84404922,37.69467635
2016090800,2,2,2,02,23,Z1,05 ,01,05,04,01,01,126.83429435,37.66803264
2016090812,1,1,2,02,24,25,05 ,02,08,05,01,01,126.8823379,37.59120298
2016091003,1,2,1,02,24,25,02 ,01,05,01,05,05,126.90451515,37.6197812
2016091517,1,1,1,03,35,37,05 ,01,05,08,##,##,126.69845051,37.66860275
2016091909,1,1,1,02,24,25,05 ,02,06,10,08,08,126.7431169,37.67277353
2016092906,1,1,2,03,34,31,05 ,01,05,05,##,##,126.85336409,37.64735411
2016100309,1,1,1,01,11,01,05 ,02,08,01,12,12,126.74708404,37.69313267
2016101219,1,2,1,01,15,05,05 ,02,08,10,12,12,126.87200013,37.64328163
2016101900,1,2,1,02,22,22,03 ,02,06,01,05,05,126.87592635,37.58039824
2016102216,1,1,1,01,12,02,05 ,02,06,10,12,12,126.82979105,37.71234316
2016102610,1,1,1,03,31,32,05 ,02,08,05,##,##,126.87151657,37.6105246
2016110406,1,1,1,01,11,01,01 ,02,06,01,12,12,126.78618207,37.64693067
2016110719,1,2,1,01,11,01,05 ,02,06,02,12,12,126.73422898,37.6957268
2016112218,1,2,1,02,24,25,03 ,02,06,03,05,05,126.75299234,37.69437801
2016112223,1,2,1,01,11,01,07 ,01,Z1,01,12,12,126.77803446,37.65251437
2016112319,1,2,1,01,12,02,05 ,02,06,01,12,12,126.84068626,37.65428726
2016120111,1,1,3,02,23,Z1,05 ,01,05,03,03,03,126.88259325,37.67401878
2016120607,1,1,1,01,11,01,05 ,01,05,01,12,12,126.78916505,37.68122603
2016122311,1,1,1,01,12,02,05 ,01,05,03,12,12,126.92420698,37.71840322
