occrrnc_dt,dth_dnv_cnt,dght_cd,injpsn_cnt,acc_ty_lclas_cd,acc_ty_mlsfc_cd,acc_ty_cd,aslt_vtr_cd,road_frm_lclas_cd,road_frm_cd,wrngdo_isrty_vhcty_lclas_cd,dmge_isrty_vhcty_lclas_cd,dmge_isrty_vhcty_lclas_cd,lo_crd,la_crd
2016010613,1,1,1,03,34,31,05 ,01,02,07,##,##,127.45702414,37.33464027
2016011919,1,2,4,02,21,21,02 ,01,05,01,01,01,127.48947441,37.28649506
2016022523,1,2,2,02,23,Z1,04 ,01,05,03,03,03,127.43392494,37.23444809
2016022706,1,1,6,02,22,22,01 ,01,05,01,02,02,127.38769097,37.28042991
2016040708,1,1,2,02,21,21,05 ,02,06,01,03,03,127.3868394,37.2087133
2016051610,1,1,1,02,22,22,05 ,01,05,05,03,03,127.54437682,37.1057539
2016051720,1,2,1,01,11,01,05 ,01,05,03,12,12,127.63140065,37.12076122
2016060917,1,1,1,01,13,03,05 ,01,05,01,12,12,127.4477498,37.27860576
2016070113,1,1,1,02,21,21,02 ,01,05,07,03,03,127.54578793,37.09417001
2016070608,1,1,2,02,22,22,02 ,01,05,03,01,01,127.4757277,37.30489057
2016070901,1,2,1,02,23,Z1,05 ,02,08,07,01,01,127.45375539,37.28970448
2016072403,1,2,1,03,31,32,05 ,02,08,01,##,##,127.40589168,37.30342242
2016072822,1,2,1,01,15,05,05 ,01,05,01,12,12,127.52141976,37.23358121
2016081221,1,2,1,01,11,01,07 ,01,05,01,12,12,127.4496801,37.27654239
2016082106,1,1,1,03,31,32,05 ,02,06,01,##,##,127.45980635,37.28247747
2016082121,1,2,1,03,34,31,05 ,01,05,05,##,##,127.50959073,37.2983305
2016101308,2,1,4,02,24,25,03 ,02,06,01,03,03,127.39974742,37.26525213
2016110222,1,2,2,01,15,05,05 ,01,05,02,12,12,127.61738011,37.12428247
2016110305,1,2,1,02,24,25,03 ,02,08,08,02,02,127.35600594,37.27938604
2016121021,1,2,1,01,11,01,05 ,01,05,01,12,12,127.49980821,37.2894431
2016121518,1,2,1,01,15,05,05 ,01,05,01,12,12,127.46879401,37.31747242
2016122006,1,1,1,01,15,05,05 ,01,05,01,12,12,127.52193793,37.23215689
