occrrnc_dt,dth_dnv_cnt,dght_cd,injpsn_cnt,acc_ty_lclas_cd,acc_ty_mlsfc_cd,acc_ty_cd,aslt_vtr_cd,road_frm_lclas_cd,road_frm_cd,wrngdo_isrty_vhcty_lclas_cd,dmge_isrty_vhcty_lclas_cd,dmge_isrty_vhcty_lclas_cd,lo_crd,la_crd
2016011805,1,2,1,02,22,22,05 ,01,05,07,03,03,127.18142424,37.87116081
2016011810,1,1,1,03,32,34,05 ,01,05,01,##,##,127.12307234,37.96059552
2016012516,1,1,1,01,11,01,05 ,01,05,03,12,12,127.22908421,37.76937744
2016012612,1,1,1,01,11,01,05 ,01,05,10,12,12,127.18949338,37.84761315
2016022319,1,2,1,01,11,01,05 ,01,02,01,12,12,127.19615733,37.84958638
2016031415,1,1,2,02,23,Z1,03 ,02,06,10,03,03,127.26267203,37.822141
2016032221,1,2,1,01,15,05,05 ,01,05,01,12,12,127.16804594,37.84235409
2016040714,1,1,1,02,24,25,99 ,01,05,03,03,03,127.2138902,37.7875392
2016041314,1,1,1,02,21,21,02 ,01,05,05,01,01,127.12488799,37.93486038
2016041513,1,1,1,02,23,Z1,01 ,01,05,03,05,05,127.24714434,37.80408236
2016041901,2,2,5,02,23,Z1,05 ,01,05,01,03,03,127.21221594,37.88238024
2016042113,1,1,2,02,21,21,02 ,01,05,01,03,03,127.18977685,37.86134083
2016042700,1,2,1,01,15,05,05 ,01,05,01,12,12,127.17963047,37.8074783
2016052314,1,1,2,02,21,21,02 ,01,05,03,01,01,127.25596146,38.02387424
2016060621,1,2,1,01,11,01,05 ,02,06,01,12,12,127.17165484,37.861499
2016062111,1,1,1,02,22,22,05 ,01,05,04,07,07,127.22660879,37.77867336
2016070314,2,1,4,02,21,21,02 ,01,05,01,01,01,127.3845695,38.03262402
2016071119,1,2,1,03,34,31,05 ,02,08,05,##,##,127.21014453,37.81023425
2016072022,1,2,1,02,24,25,05 ,01,05,03,08,08,127.21299526,37.88082288
2016090819,1,2,1,01,11,01,01 ,01,05,03,12,12,127.20688793,38.10142523
2016100923,1,2,1,01,11,01,05 ,01,05,01,12,12,127.28573531,37.85444321
2016102115,1,1,1,03,34,31,05 ,01,05,05,##,##,127.27308325,37.91748388
2016110413,1,1,2,02,21,21,02 ,01,05,03,10,10,127.22115463,38.13486099
2016110718,1,2,1,02,23,Z1,05 ,01,05,01,05,05,127.138442,37.82072558
2016110919,1,2,1,01,15,05,05 ,01,05,01,12,12,127.14467855,37.82573783
2016111718,1,2,1,01,11,01,07 ,01,Z1,03,12,12,127.23305516,37.87119004
2016112118,2,2,3,02,23,Z1,05 ,01,05,03,10,10,127.30511507,37.95428722
2016120517,1,1,1,01,11,01,05 ,Z3,Z3,01,12,12,127.1547404,37.82453296
