occrrnc_dt,dth_dnv_cnt,dght_cd,injpsn_cnt,acc_ty_lclas_cd,acc_ty_mlsfc_cd,acc_ty_cd,aslt_vtr_cd,road_frm_lclas_cd,road_frm_cd,wrngdo_isrty_vhcty_lclas_cd,dmge_isrty_vhcty_lclas_cd,dmge_isrty_vhcty_lclas_cd,lo_crd,la_crd
2016012907,1,1,1,01,11,01,05 ,02,06,03,12,12,126.992332,37.13243902
2016020510,1,1,1,01,11,01,05 ,01,05,01,12,12,126.91087221,37.13312584
2016031819,1,2,1,02,22,22,05 ,02,08,01,05,05,127.07200293,37.20522684
2016032215,1,1,1,03,34,31,05 ,01,05,05,##,##,126.91944206,37.0709074
2016032320,1,2,1,03,31,32,05 ,01,05,01,##,##,127.03144988,37.21353755
2016032504,1,2,2,03,31,32,05 ,02,08,01,##,##,127.00261806,37.20181895
2016032612,1,1,1,02,23,Z1,05 ,01,05,01,05,05,126.70491663,37.16484234
2016040618,1,2,1,02,22,22,05 ,01,05,03,07,07,126.87690876,37.16977459
2016042206,1,1,1,03,34,31,05 ,01,05,05,##,##,127.0520603,37.22743578
2016043022,1,2,1,02,22,22,05 ,01,05,07,03,03,126.81664692,37.10845338
2016051106,1,1,1,03,31,32,05 ,01,05,01,##,##,126.73308031,37.0738601
2016051203,1,2,1,03,34,31,05 ,01,05,01,##,##,126.94383541,37.21479912
2016051810,1,1,1,01,12,02,05 ,01,05,04,12,12,126.97249131,37.10696857
2016051915,1,1,2,02,23,Z1,05 ,01,05,03,03,03,127.02817413,37.22014084
2016052503,2,2,10,02,22,22,05 ,01,05,03,04,04,126.8851874,37.25731637
2016052800,1,2,1,02,24,25,05 ,01,05,01,03,03,126.8206791,37.11694077
2016060421,1,2,2,02,23,Z1,05 ,01,05,01,07,07,126.81516374,37.09568086
2016060723,1,2,2,02,21,21,02 ,01,03,01,01,01,126.888,37.24280052
2016060808,1,1,2,01,15,05,05 ,01,05,02,12,12,126.8850498,37.23955825
2016061110,2,1,4,02,22,22,05 ,01,05,01,01,01,126.98642004,37.22581723
2016061501,1,2,2,02,23,Z1,05 ,01,05,01,03,03,126.8827004,37.24562141
2016061819,1,2,1,02,22,22,04 ,02,08,03,07,07,127.0272693,37.20799534
2016062613,1,1,1,02,21,21,06 ,02,06,01,05,05,126.89536847,37.16717502
2016062702,2,2,2,01,15,05,05 ,01,05,03,12,12,126.906274,37.270404
2016080114,1,1,2,02,23,Z1,05 ,02,08,03,01,01,126.93651738,37.17280429
2016081210,1,1,1,02,23,Z1,04 ,01,05,05,03,03,126.93904104,37.19254798
2016082705,1,2,1,01,11,01,05 ,02,06,01,12,12,126.97163197,37.22726653
2016092606,1,1,1,03,31,32,05 ,01,05,01,##,##,127.06329705,37.14168176
2016101019,1,2,1,01,11,01,05 ,01,05,01,12,12,127.03803616,37.20358489
2016102123,1,2,1,01,11,01,05 ,02,08,01,12,12,126.97248512,37.16137777
2016102916,1,1,2,02,24,25,05 ,01,05,01,05,05,126.67168695,37.24045739
2016103003,1,2,1,02,24,25,05 ,01,05,01,10,10,126.80340322,37.2050786
2016103012,1,1,2,02,23,Z1,05 ,01,05,01,01,01,126.94014476,37.20024216
2016103121,1,2,1,01,11,01,05 ,01,05,02,12,12,126.92898031,37.1594905
2016110207,1,1,1,01,15,05,05 ,01,05,03,12,12,126.88764877,37.26112398
2016111303,1,2,1,03,31,32,05 ,02,06,07,##,##,127.06013258,37.22141763
2016111707,1,1,2,02,22,22,03 ,02,06,01,05,05,127.10735655,37.2091983
2016112117,1,1,1,02,23,Z1,05 ,01,05,03,10,10,126.81425214,37.10568124
2016112523,1,2,1,02,24,25,05 ,02,08,01,01,01,126.94924558,37.22096292
2016112706,1,1,3,02,24,25,05 ,01,03,01,03,03,126.89896638,37.12387169
2016112923,1,2,1,01,12,02,05 ,01,05,01,12,12,127.00153462,37.13346963
2016120905,1,2,1,01,11,01,05 ,01,Z1,01,12,12,127.06902333,37.20800138
2016121717,1,1,2,02,21,21,03 ,02,08,01,01,01,126.78741616,37.20347818
