occrrnc_dt,dth_dnv_cnt,dght_cd,injpsn_cnt,acc_ty_lclas_cd,acc_ty_mlsfc_cd,acc_ty_cd,aslt_vtr_cd,road_frm_lclas_cd,road_frm_cd,wrngdo_isrty_vhcty_lclas_cd,dmge_isrty_vhcty_lclas_cd,dmge_isrty_vhcty_lclas_cd,lo_crd,la_crd
2020011615,1,1,4,02,24,25,05 ,02,06,03,03,03,126.72317015,37.77062543
2020011721,1,2,1,01,11,01,05 ,02,08,03,12,12,126.8027743,37.75503495
2020020308,1,1,1,01,11,01,03 ,02,07,02,12,12,126.82545257,37.83157064
2020021222,1,2,1,01,15,05,05 ,01,05,01,12,12,126.85100752,37.78118706
2020030603,1,2,2,03,38,38,05 ,01,05,05,##,##,126.77032273,37.7442481
2020032912,1,1,1,02,22,22,04 ,01,05,01,05,05,126.94623656,37.930478
2020040113,1,1,1,03,38,38,05 ,02,08,05,##,##,126.88335836,37.87024738
2020040520,1,2,1,02,22,22,05 ,02,06,05,03,03,126.77904939,37.86128184
2020050218,1,2,1,03,31,32,05 ,01,05,05,##,##,126.72890497,37.77272708
2020050303,1,2,1,03,31,32,05 ,01,05,05,##,##,126.7666349,37.76944383
2020050413,1,1,1,02,23,23,04 ,01,05,01,11,11,126.78940635,37.82806893
2020061312,1,1,1,01,11,01,05 ,02,08,10,12,12,126.74287739,37.75318723
2020062401,1,2,1,01,13,03,05 ,01,05,01,12,12,126.83078265,37.8604426
2020062919,1,2,2,02,22,22,03 ,02,06,01,01,01,126.70197362,37.77994746
2020070615,1,1,2,02,24,25,02 ,02,08,98,03,03,126.78120766,37.87667109
2020081100,1,2,1,01,15,05,05 ,01,05,01,12,12,126.79201232,37.75149173
2020081307,1,1,1,02,22,22,05 ,02,07,08,01,01,126.80677368,37.74006071
2020081512,1,1,3,02,23,23,05 ,01,05,01,11,11,126.97190962,37.98424964
2020082210,1,1,1,02,24,25,01 ,02,06,03,08,08,126.73285424,37.75864743
2020090606,1,1,1,01,15,05,03 ,02,06,10,12,12,126.80381319,37.73502294
2020092019,1,2,1,01,11,01,05 ,01,05,01,12,12,126.91750585,37.9807662
2020092107,1,1,1,01,11,01,05 ,01,05,01,12,12,126.76891719,37.72905229
2020092206,1,1,1,02,23,23,05 ,01,05,03,03,03,126.75273045,37.75207842
2020092611,1,1,1,03,35,37,05 ,01,05,08,##,##,126.85467918,37.94503595
2020092811,1,1,1,01,11,01,05 ,01,05,03,12,12,126.83366604,37.77369053
2020092903,1,2,1,01,12,02,05 ,01,05,01,12,12,126.79565018,37.76169833
2020101214,1,1,1,02,21,21,03 ,01,05,02,08,08,126.76730787,37.75417085
2020101517,1,1,1,01,13,03,05 ,05,98,01,12,12,126.81303541,37.72813693
2020101705,1,2,3,02,22,22,03 ,02,06,05,01,01,126.71102419,37.7254253
2020102301,1,2,1,01,15,05,01 ,01,05,02,12,12,126.72932079,37.70855659
2020110209,1,1,1,01,11,01,05 ,02,06,03,12,12,126.8116578,37.72862461
2020112814,1,1,1,02,24,25,05 ,01,05,03,08,08,126.87660959,37.94113445
2020122707,1,1,1,02,24,25,03 ,02,08,01,08,08,126.81221948,37.8578841
2020122815,1,1,2,01,15,05,02 ,01,05,01,12,12,126.71546258,37.70698703
