tm,stnNm,sumRn
2016-01-01,인천,
2016-01-02,인천,
2016-01-03,인천,
2016-01-04,인천,
2016-01-05,인천,
2016-01-06,인천,
2016-01-07,인천,
2016-01-08,인천,
2016-01-09,인천,
2016-01-10,인천,0.0
2016-01-11,인천,
2016-01-12,인천,
2016-01-13,인천,1.6
2016-01-14,인천,0.0
2016-01-15,인천,
2016-01-16,인천,0.1
2016-01-17,인천,
2016-01-18,인천,0.2
2016-01-19,인천,
2016-01-20,인천,
2016-01-21,인천,
2016-01-22,인천,
2016-01-23,인천,0.0
2016-01-24,인천,
2016-01-25,인천,0.0
2016-01-26,인천,0.9
2016-01-27,인천,
2016-01-28,인천,
2016-01-29,인천,
2016-01-30,인천,
2016-01-31,인천,
2016-02-01,인천,
2016-02-02,인천,
2016-02-03,인천,
2016-02-04,인천,
2016-02-05,인천,
2016-02-06,인천,
2016-02-07,인천,
2016-02-08,인천,
2016-02-09,인천,
2016-02-10,인천,
2016-02-11,인천,2.4
2016-02-12,인천,13.2
2016-02-13,인천,21.9
2016-02-14,인천,
2016-02-15,인천,0.4
2016-02-16,인천,0.9
2016-02-17,인천,
2016-02-18,인천,
2016-02-19,인천,
2016-02-20,인천,
2016-02-21,인천,
2016-02-22,인천,0.3
2016-02-23,인천,0.3
2016-02-24,인천,
2016-02-25,인천,
2016-02-26,인천,0.0
2016-02-27,인천,0.0
2016-02-28,인천,3.7
2016-02-29,인천,
2016-03-01,인천,
2016-03-02,인천,
2016-03-03,인천,
2016-03-04,인천,1.8
2016-03-05,인천,42.1
2016-03-06,인천,0.0
2016-03-07,인천,
2016-03-08,인천,
2016-03-09,인천,
2016-03-10,인천,
2016-03-11,인천,
2016-03-12,인천,
2016-03-13,인천,0.1
2016-03-14,인천,
2016-03-15,인천,
2016-03-16,인천,
2016-03-17,인천,
2016-03-18,인천,
2016-03-19,인천,
2016-03-20,인천,
2016-03-21,인천,
2016-03-22,인천,
2016-03-23,인천,
2016-03-24,인천,
2016-03-25,인천,
2016-03-26,인천,
2016-03-27,인천,
2016-03-28,인천,
2016-03-29,인천,0.1
2016-03-30,인천,
2016-03-31,인천,
2016-04-01,인천,
2016-04-02,인천,
2016-04-03,인천,0.1
2016-04-04,인천,
2016-04-05,인천,
2016-04-06,인천,3.7
2016-04-07,인천,7.1
2016-04-08,인천,
2016-04-09,인천,0.4
2016-04-10,인천,0.2
2016-04-11,인천,
2016-04-12,인천,
2016-04-13,인천,0.7
2016-04-14,인천,
2016-04-15,인천,
2016-04-16,인천,30.5
2016-04-17,인천,16.2
2016-04-18,인천,0.2
2016-04-19,인천,
2016-04-20,인천,0.7
2016-04-21,인천,21.0
2016-04-22,인천,
2016-04-23,인천,
2016-04-24,인천,
2016-04-25,인천,
2016-04-26,인천,
2016-04-27,인천,
2016-04-28,인천,
2016-04-29,인천,
2016-04-30,인천,
2016-05-01,인천,
2016-05-02,인천,13.5
2016-05-03,인천,35.4
2016-05-04,인천,
2016-05-05,인천,0.8
2016-05-06,인천,8.7
2016-05-07,인천,
2016-05-08,인천,
2016-05-09,인천,
2016-05-10,인천,11.0
2016-05-11,인천,
2016-05-12,인천,
2016-05-13,인천,
2016-05-14,인천,
