tm,stnNm,sumRn
2020-01-01,백령도,0.0
2020-01-02,백령도,
2020-01-03,백령도,
2020-01-04,백령도,
2020-01-05,백령도,
2020-01-06,백령도,2.5
2020-01-07,백령도,35.1
2020-01-08,백령도,3.3
2020-01-09,백령도,
2020-01-10,백령도,
2020-01-11,백령도,
2020-01-12,백령도,
2020-01-13,백령도,
2020-01-14,백령도,0.0
2020-01-15,백령도,
2020-01-16,백령도,
2020-01-17,백령도,
2020-01-18,백령도,
2020-01-19,백령도,0.0
2020-01-20,백령도,
2020-01-21,백령도,
2020-01-22,백령도,
2020-01-23,백령도,
2020-01-24,백령도,
2020-01-25,백령도,
2020-01-26,백령도,
2020-01-27,백령도,0.0
2020-01-28,백령도,0.0
2020-01-29,백령도,
2020-01-30,백령도,
2020-01-31,백령도,
2020-02-01,백령도,
2020-02-02,백령도,0.7
2020-02-03,백령도,0.0
2020-02-04,백령도,0.0
2020-02-05,백령도,0.0
2020-02-06,백령도,
2020-02-07,백령도,0.2
2020-02-08,백령도,
2020-02-09,백령도,
2020-02-10,백령도,
2020-02-11,백령도,0.0
2020-02-12,백령도,0.7
2020-02-13,백령도,
2020-02-14,백령도,
2020-02-15,백령도,5.4
2020-02-16,백령도,0.0
2020-02-17,백령도,0.0
2020-02-18,백령도,
2020-02-19,백령도,
2020-02-20,백령도,
2020-02-21,백령도,2.5
2020-02-22,백령도,
2020-02-23,백령도,
2020-02-24,백령도,
2020-02-25,백령도,14.9
2020-02-26,백령도,
2020-02-27,백령도,
2020-02-28,백령도,4.0
2020-02-29,백령도,0.0
2020-03-01,백령도,
2020-03-02,백령도,
2020-03-03,백령도,0.0
2020-03-04,백령도,0.0
2020-03-05,백령도,
2020-03-06,백령도,
2020-03-07,백령도,
2020-03-08,백령도,
2020-03-09,백령도,
2020-03-10,백령도,
2020-03-11,백령도,
2020-03-12,백령도,0.1
2020-03-13,백령도,
2020-03-14,백령도,
2020-03-15,백령도,
2020-03-16,백령도,
2020-03-17,백령도,
2020-03-18,백령도,
2020-03-19,백령도,
2020-03-20,백령도,
2020-03-21,백령도,
2020-03-22,백령도,
2020-03-23,백령도,
2020-03-24,백령도,
2020-03-25,백령도,
2020-03-26,백령도,6.8
2020-03-27,백령도,
2020-03-28,백령도,
2020-03-29,백령도,
2020-03-30,백령도,
2020-03-31,백령도,
2020-04-01,백령도,
2020-04-02,백령도,
2020-04-03,백령도,
2020-04-04,백령도,
2020-04-05,백령도,
2020-04-06,백령도,
2020-04-07,백령도,
2020-04-08,백령도,
2020-04-09,백령도,
2020-04-10,백령도,
2020-04-11,백령도,
2020-04-12,백령도,0.6
2020-04-13,백령도,
2020-04-14,백령도,
2020-04-15,백령도,
2020-04-16,백령도,0.1
2020-04-17,백령도,9.1
