,날짜,지역명,강수량,사망자수,주야구분코드,부상자수,사고유형대분류코드,사고유형중분류코드,사고유형코드,가해자법규위반코드,도로형태대분류코드,도로형태코드,가해당사자종별코드,피해당사자종별코드,경도,위도
0,20160113,수원,2.7,1,1,1,2,23,Z1,5,01,05,3,03,126.95062952,37.28962845
1,20160118,동두천,0.7,1,2,1,2,22,22,5,01,05,7,03,127.18142424,37.87116081
2,20160118,동두천,0.7,1,1,1,3,32,34,5,01,05,1,##,127.12307234,37.96059552
3,20160126,동두천,0.3,1,1,1,1,11,01,5,01,05,10,12,127.18949338,37.84761315
4,20160206,수원,0.3,1,2,1,1,15,05,5,01,05,1,12,127.00331302,37.30201197
5,20160222,수원,0.1,1,2,1,1,12,02,5,01,05,2,12,127.05979035,37.27057862
6,20160223,동두천,0.3,1,2,1,1,11,01,5,01,02,1,12,127.19615733,37.84958638
7,20160227,양평,0.5,2,1,9,2,22,22,3,2,6,1,03,127.38418342,37.69760391
8,20160227,이천,8.9,1,1,6,2,22,22,1,1,5,1,02,127.38769097,37.28042991
9,20160406,수원,4.2,1,2,1,2,22,22,5,1,05,3,07,126.87690876,37.16977459
10,20160407,동두천,7.6,1,1,1,2,24,25,99,01,05,3,03,127.2138902,37.7875392
11,20160407,이천,14.4,1,1,2,2,21,21,5,2,6,1,03,127.3868394,37.2087133
12,20160407,수원,7.9,1,2,1,1,12,02,5,01,05,1,12,127.0504363,37.29965843
13,20160413,동두천,0.3,1,1,1,2,21,21,2,01,05,5,01,127.12488799,37.93486038
14,20160413,파주,0.1,1,1,1,2,21,21,3,2,06,2,07,126.83935139,37.92185093
15,20160416,파주,31.9,1,2,3,2,23,Z1,5,1,05,3,03,126.84744874,37.6665739
16,20160416,파주,31.9,1,2,1,3,34,31,5,1,05,7,##,126.80525607,37.75792478
17,20160417,이천,15.1,1,2,1,1,15,05,5,01,05,2,12,127.2093048,37.23244216
18,20160420,이천,0.9,1,2,1,1,11,01,5,02,08,1,12,127.1054946,37.30913008
19,20160421,동두천,17.5,1,1,2,2,21,21,2,01,05,1,03,127.18977685,37.86134083
20,20160510,파주,9.7,1,2,2,3,32,35,5,1,05,7,##,126.72206029,37.73132111
21,20160515,수원,39.8,1,2,1,2,24,25,1,02,08,1,05,126.98184546,37.29467277
