,날짜,지역명,강수량,사망자수,주야구분코드,부상자수,사고유형대분류코드,사고유형중분류코드,사고유형코드,가해자법규위반코드,도로형태대분류코드,도로형태코드,가해당사자종별코드,피해당사자종별코드,경도,위도
0,20200106,동두천,2.5,1,2,1,1,13,3,5,1,5,1,12,127.31407735,38.0023406
1,20200106,이천,4.4,1,2,1,2,23,23,5,1,5,5,03,127.11406369,37.28406357
2,20200107,동두천,49.1,1,1,2,1,11,1,7,1,5,1,12,127.27442841,38.09136287
3,20200119,양평,0.7,1,1,1,3,31,32,5,2,8,3,##,127.51676848,37.81088709
4,20200119,수원,0.4,1,2,4,2,24,25,2,1,5,1,01,126.95236331,37.19507114
5,20200127,이천,2.1,1,2,1,1,11,1,5,2,6,1,12,127.16672232,37.24338118
6,20200204,양평,1.5,1,2,17,2,24,25,5,1,5,4,01,127.7526129,37.41088786
7,20200204,수원,1.1,1,1,1,1,11,1,5,1,5,2,12,127.07537132,37.25568137
8,20200204,파주,0.5,1,1,3,2,22,22,2,1,5,1,03,126.8819916,37.67819778
9,20200212,수원,10.5,1,2,1,3,31,32,5,2,6,5,##,126.99912282,37.27878353
10,20200212,파주,3.8,1,2,1,1,15,5,5,1,5,1,12,126.85100752,37.78118706
11,20200221,이천,2.6,1,2,1,1,12,2,5,1,5,1,12,127.1037539,37.24296186
12,20200221,수원,5.1,1,2,1,3,31,32,5,1,5,1,##,126.92711374,37.11131014
13,20200225,수원,22.6,1,2,1,1,12,2,5,5,98,1,12,126.88762602,37.13280972
14,20200313,동두천,0.2,1,2,1,1,11,1,5,1,5,3,12,127.14803835,37.82650502
15,20200317,파주,0.3,1,2,1,1,15,5,5,1,5,1,12,126.83401119,37.63245562
16,20200317,파주,0.3,1,1,1,1,11,1,5,2,8,2,12,126.90207543,37.70361052
17,20200319,이천,0.2,1,2,1,1,11,1,1,2,6,1,12,127.36076694,37.25451305
18,20200326,수원,4.1,1,1,1,2,24,25,5,1,5,2,05,127.00825969,37.26492236
19,20200417,양평,5.0,1,2,1,3,31,32,5,1,5,1,##,127.75391687,37.41221009
20,20200419,양평,11.5,1,1,1,3,31,32,5,1,5,5,##,127.75704166,37.41725105
21,20200501,파주,0.2,1,2,1,1,15,5,5,1,5,3,12,126.91017369,37.71525133
22,20200502,파주,0.3,1,2,1,3,31,32,5,1,5,5,##,126.72890497,37.77272708
23,20200508,파주,4.7,1,2,1,2,24,25,5,1,5,1,01,126.85946689,37.64818057
24,20200510,수원,0.5,1,2,1,1,15,5,5,1,5,1,12,126.97349115,37.25817465
25,20200515,파주,8.8,2,2,2,3,35,37,5,1,5,5,##,126.73442709,37.68197399
26,20200518,동두천,37.0,1,1,1,1,11,1,7,2,6,5,12,127.05674393,37.92954013
27,20200518,동두천,37.0,1,1,1,2,24,25,3,2,6,3,05,127.14856997,37.82702035
28,20200602,수원,1.1,1,1,2,2,24,25,5,1,5,1,99,126.91859118,37.2849865
29,20200602,수원,1.1,1,2,1,2,22,22,99,2,8,8,01,127.00843724,37.29658898
30,20200624,동두천,48.4,1,2,2,2,21,21,2,2,8,1,03,127.36851154,38.02128702
31,20200624,파주,71.2,1,2,1,1,13,3,5,1,5,1,12,126.83078265,37.8604426
32,20200625,수원,4.4,1,2,1,2,24,25,1,2,6,3,02,126.99152099,37.20646814
33,20200626,파주,1.9,1,2,1,1,11,1,7,1,5,1,12,126.84599718,37.61747042
34,20200629,파주,6.0,1,2,2,2,22,22,3,2,6,1,01,126.70197362,37.77994746
35,20200630,수원,26.8,1,2,1,2,22,22,5,1,5,1,05,127.03039925,37.21211819
36,20200702,수원,0.6,1,2,1,3,31,32,5,1,1,1,##,127.0244765,37.31350145
37,20200711,동두천,0.1,1,1,1,3,38,38,5,1,5,8,##,127.09904998,37.98412085
38,20200713,수원,47.2,1,1,2,2,23,23,5,1,2,3,03,126.75547636,37.24744975
39,20200714,파주,12.4,1,2,1,1,11,1,1,2,6,1,12,126.77309903,37.69362038
40,20200717,이천,3.9,1,2,1,2,22,22,3,2,6,9,01,127.49436235,37.2452382
41,20200723,동두천,95.2,1,1,1,2,24,25,3,2,6,3,03,127.2115846,37.88389289
42,20200801,파주,113.8,1,1,1,2,22,22,5,1,5,2,08,126.90600175,37.72477537
43,20200803,수원,96.9,1,2,3,2,23,23,5,1,5,1,03,127.0813234,37.29271383
44,20200803,이천,67.2,1,2,2,2,22,22,3,2,6,1,02,127.20984023,37.23098319
45,20200807,이천,2.2,1,2,2,1,15,5,5,1,5,8,12,127.21249258,37.23015136
46,20200807,이천,2.2,1,1,1,1,11,1,7,2,7,3,12,127.10525381,37.25370254
47,20200810,동두천,47.1,1,1,1,1,11,1,5,1,5,1,12,127.05608572,37.89895666
48,20200810,수원,22.3,1,2,2,2,23,23,5,2,8,1,01,127.08681392,37.16120956
49,20200810,수원,22.3,1,1,2,2,23,23,4,1,5,3,03,126.74562817,37.27845805
50,20200811,파주,48.2,1,2,1,1,15,5,5,1,5,1,12,126.79201232,37.75149173
51,20200811,수원,16.2,1,2,1,1,11,1,1,1,5,1,12,127.02671944,37.28694651
52,20200813,파주,0.1,1,1,1,2,22,22,5,2,7,8,01,126.80677368,37.74006071
53,20200814,파주,5.2,1,1,1,1,11,1,3,2,7,3,12,126.76374741,37.68956953
54,20200815,파주,0.9,1,1,3,2,23,23,5,1,5,1,11,126.97190962,37.98424964
55,20200822,파주,17.0,1,1,1,2,24,25,1,2,6,3,08,126.73285424,37.75864743
56,20200826,파주,0.5,1,2,1,1,11,1,5,5,98,1,12,126.8219852,37.61263895
57,20200829,수원,18.3,1,2,4,2,23,23,1,1,5,1,01,127.05447676,37.27269505
58,20200830,동두천,5.3,4,2,5,2,23,23,1,1,5,1,98,127.20441223,38.07044225
59,20200901,수원,0.4,1,2,1,2,22,22,3,2,6,2,03,126.80774261,37.02572398
60,20200901,이천,0.1,1,1,1,2,22,22,5,2,6,1,08,127.10494336,37.30233175
61,20200902,수원,17.9,1,2,2,2,23,23,5,1,5,3,03,126.79808759,37.07675954
62,20200906,양평,11.7,1,2,1,3,31,32,5,1,5,5,##,127.3707429,37.52655268
63,20200906,파주,1.4,1,1,1,1,15,5,3,2,6,10,12,126.80381319,37.73502294
64,20200907,이천,40.0,1,2,3,2,24,25,5,1,5,3,01,127.104943,37.2415272
65,20200911,이천,1.5,2,2,9,2,24,25,5,1,5,3,03,127.10403107,37.24623127
66,20200912,수원,8.3,1,2,1,1,15,5,5,1,5,1,12,126.87183135,37.10818168
67,20200912,파주,3.8,1,2,1,1,11,1,5,1,5,1,12,126.76296985,37.66957339
68,20201002,동두천,1.4,1,2,1,1,14,4,1,2,8,5,12,127.20210922,37.89582058
69,20201102,파주,0.2,1,1,1,1,11,1,5,2,6,3,12,126.8116578,37.72862461
70,20201103,이천,1.1,1,1,1,1,12,2,5,2,8,1,12,127.47719707,37.25948734
71,20201118,수원,5.1,1,1,1,1,11,1,7,2,7,2,12,126.98594096,37.31291667
72,20201227,파주,0.6,1,1,1,2,24,25,3,2,8,1,08,126.81221948,37.8578841
