,날짜,지역명,강수량,사망자수,주야구분코드,부상자수,사고유형대분류코드,사고유형중분류코드,사고유형코드,가해자법규위반코드,도로형태대분류코드,도로형태코드,가해당사자종별코드,피해당사자종별코드,경도,위도
0,20200101,수원,0.0,1,2,1,2,23,23,5,1,5,1,03,126.95014654,37.25055993
1,20200101,이천,0.0,1,1,1,3,32,34,5,1,5,11,##,127.62601367,37.10341463
2,20200102,수원,0.0,1,1,1,2,24,25,5,2,6,3,03,126.95722848,37.26147242
3,20200102,양평,0.0,2,2,2,3,32,34,5,1,5,6,##,127.47472291,37.80914602
4,20200103,동두천,0.0,1,2,1,3,31,32,5,1,5,1,##,127.29960661,37.91207014
5,20200103,이천,0.0,1,2,1,1,15,5,5,2,8,1,12,127.40375263,37.25527692
6,20200105,수원,0.0,1,2,5,2,23,23,2,1,5,1,01,126.98900685,37.19994018
7,20200105,이천,0.0,1,2,1,3,32,35,1,1,5,1,##,127.52124794,37.10321827
8,20200109,이천,0.0,1,1,1,1,13,3,5,1,5,1,12,127.33886626,37.1650654
9,20200110,수원,0.0,1,2,1,3,38,38,5,1,5,5,##,127.05094244,37.29993077
10,20200110,수원,0.0,1,1,1,2,22,22,5,1,5,2,01,126.84391048,37.21738857
11,20200111,이천,0.0,1,2,1,1,11,1,5,2,8,1,12,127.43308349,37.28082483
12,20200114,수원,0.0,1,2,1,1,11,1,5,2,7,1,12,127.07540485,37.25573558
13,20200115,양평,0.0,1,2,1,3,31,32,5,1,5,1,##,127.58213608,37.47948946
14,20200115,이천,0.0,1,1,35,2,23,23,5,1,5,2,02,127.10363445,37.26576684
15,20200116,파주,0.0,1,1,4,2,24,25,5,2,6,3,03,126.72317015,37.77062543
16,20200116,이천,0.0,1,1,1,1,11,1,5,2,6,3,12,127.59155431,37.11367743
17,20200117,파주,0.0,1,2,1,1,11,1,5,2,8,3,12,126.8027743,37.75503495
18,20200117,이천,0.0,1,2,1,2,21,21,2,1,5,7,01,127.170547,37.22467875
19,20200121,수원,0.0,1,1,1,1,11,1,5,2,7,2,12,126.9164897,37.11412483
20,20200123,수원,0.0,1,1,2,2,22,22,6,2,6,5,01,127.00420925,37.28924305
21,20200129,양평,0.0,1,1,3,2,22,22,5,1,5,1,01,127.38489609,37.6988782
22,20200129,파주,0.0,1,1,1,1,15,5,5,1,5,1,12,126.78999647,37.65347929
23,20200130,동두천,0.0,1,1,3,2,22,22,3,2,6,6,02,127.21581971,37.92110894
24,20200130,수원,0.0,1,1,1,2,23,23,5,1,5,3,10,126.94268624,37.20401298
25,20200202,동두천,0.0,3,1,5,2,21,21,2,1,5,1,01,127.28298237,38.02155683
26,20200203,파주,0.0,1,1,1,1,11,1,3,2,7,2,12,126.82545257,37.83157064
27,20200203,이천,0.0,1,1,1,1,11,1,5,2,6,2,12,127.1890646,37.23629382
28,20200205,파주,0.0,1,2,1,2,22,22,5,2,6,2,05,126.75303296,37.68128212
29,20200206,양평,0.0,1,2,2,2,21,21,2,1,5,1,01,127.50266532,37.68671221
